sample	qPCR
WA3Cent2b_1	2.72E+09
WA3Cent2b_1	
WA3Cent2b_2	
WA3Cent2b_3	
WA4Cas1a_1	
WA4Cas1a_2	
WA4Cas1a_3	
WA4Cas1b_1	
WA4Cas1b_2	
WA4Cas1b_3	
WA4Cas2_1	
WA4Cas2_2	
WA4Cas2_3	
WA4Cas3_1	
WA4Cas3_2	
WA4Cas3_3	
WA4Cent1_1	
WA4Cent1_2	
WA4Cent1_3	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
#N/A	
